"","region","saleYear","volume","volCS","volShare","volGrowth","medPrice","priceGrowth"
"1","algona",1996,54,27516,0.00196249454862625,-0.197305299882939,99975,-0.0695672405770126
"2","algona",1997,58,31821,0.00182269570409478,-0.0712352778912597,104250,0.0427606901725435
"3","algona",1998,82,34021,0.0024102760059963,0.322368841151865,109725,0.0525179856115099
"4","algona",1999,87,33331,0.0026101827127899,0.0829393423393292,120400,0.0972886762360452
"5","algona",2000,80,31196,0.00256443133735094,-0.0175280355719045,131975,0.0961378737541532
"6","algona",2001,77,30855,0.00249554367201426,-0.0268627450980391,139900,0.0600492517522262
"7","algona",2002,95,33613,0.00282628744830869,0.132533756072268,164350,0.174767691208004
"8","algona",2003,117,39941,0.00292932074810345,0.0364553505894876,164000,-0.0021296014602985
"9","algona",2004,91,43322,0.00210054937445178,-0.282922713119841,173000,0.0548780487804879
"10","algona",2005,104,45181,0.0023018525486377,0.0958335836492585,184000,0.0635838150289025
"11","algona",2006,111,39609,0.00280239339544043,0.217451307686481,215000,0.168478260869566
"12","algona",2007,74,31419,0.00235526273910691,-0.159553136637067,250000,0.162790697674418
"13","algona",2008,41,20255,0.00202419155764009,-0.140566560141974,197340,-0.210639999999999
"14","algona",2009,40,19232,0.00207986688851913,0.027504971389148,198875,0.00777845343062733
"15","algona",2010,41,20732,0.0019776191394945,-0.0491607177310437,148000,-0.255813953488373
"16","algona",2011,54,21948,0.0024603608529251,0.244102468362027,103625,-0.29983108108108
"17","algona",2012,46,28077,0.00163835167574883,-0.334101063345641,155000,0.495778045838358
"18","algona",2013,65,33382,0.00194715715056018,0.188485463397353,161000,0.0387096774193547
"19","algona",2014,56,31845,0.00175851782069399,-0.0968793555322057,158250,-0.0170807453416147
"20","algona",2015,80,34417,0.00232443269314583,0.321813555593373,177450,0.12132701421801
"21","algona",2016,76,33824,0.00224692526017029,-0.0333446665089869,222500,0.253874330797407
"22","auburn",1996,1260,27516,0.0457915394679459,0.08055055784989,140000,0.0687022900763359
"23","auburn",1997,1501,31821,0.0471701077904528,0.0301053063191274,152100,0.0864285714285724
"24","auburn",1998,1651,34021,0.0485288498280474,0.0288051501520958,155000,0.019066403681788
"25","auburn",1999,1701,33331,0.0510335723500645,0.0516130617332189,165000,0.0645161290322585
"26","auburn",2000,1626,31196,0.0521220669316579,0.021328990534444,183775,0.113787878787878
"27","auburn",2001,1774,30855,0.0574947334305623,0.103078538806779,204889,0.114890491089647
